	person_id	arrest_id	charge_degree	offense_category	arrest_date_event
3241	1431898	5342043	misdemeanor	property	2017-08-17
3242	2455042	5960268	misdemeanor	property	2017-03-29
3243	2508428	5970937	misdemeanor	property	2017-03-27
3244	1061804	5989089	misdemeanor	property	2017-03-21
3245	1308492	2939944	misdemeanor	property	2018-09-30
3246	861665	2791571	misdemeanor	property	2018-10-29
3247	1308492	2939945	misdemeanor	drug	2018-09-30
3248	1061804	3185334	misdemeanor	drug	2018-08-13
3249	861665	2619833	misdemeanor	property	2018-11-30
3250	861665	2898780	misdemeanor	property	2018-10-09
3251	1075503	4479809	misdemeanor	property	2018-01-20
3252	173473	2873454	misdemeanor	property	2018-10-12
3253	861665	2453763	misdemeanor	property	2019-01-03
3254	1055158	1413956	misdemeanor	violent	2019-06-22
3255	1308492	1720587	misdemeanor	drug	2020-05-19
3256	1103608	52561	misdemeanor	violent	2020-04-06
3257	1431369	11506217	misdemeanor	other	2012-06-03
3258	1061804	8887488	misdemeanor	drug	2014-11-15
3259	883902	9041192	felony	violent	2014-09-22
3260	847994	9830028	misdemeanor	violent	2014-01-06
3261	847994	9476270	felony	drug	2014-05-08
3262	2456906	9237460	misdemeanor	drug	2014-07-19
3263	80009	7665090	misdemeanor	drug	2015-12-11
3264	1435646	8205741	misdemeanor	property	2015-07-01
3265	2497431	7948095	misdemeanor	other	2015-09-17
3266	860034	7811844	misdemeanor	drug	2015-10-29
3267	883902	8237274	misdemeanor	property	2015-06-20
3268	2452788	7603699	felony	violent	2016-01-03
3269	847994	7311479	misdemeanor	violent	2016-03-25
3270	451627	6724161	felony	property	2016-08-21
3271	848761	7508310	felony	property	2016-02-03
3272	80009	6688760	felony	property	2016-08-30
3273	847994	6793133	felony	property	2016-08-01
3274	1061804	7382549	misdemeanor	drug	2016-03-07
3275	1075503	6957461	misdemeanor	property	2016-06-13
3276	848761	7291921	misdemeanor	drug	2016-03-31
3277	2456906	7417840	misdemeanor	drug	2016-02-25
3278	2456906	6639316	misdemeanor	drug	2016-09-14
3279	1075503	6655245	misdemeanor	property	2016-09-09
3280	1075503	6659770	felony	violent	2016-09-08
3281	883902	7153262	misdemeanor	drug	2016-05-07
3282	80009	6836128	felony	property	2016-07-18
3283	848761	7189038	felony	property	2016-04-28
3284	80009	6851519	misdemeanor	property	2016-07-13
3285	80009	6851520	misdemeanor	drug	2016-07-13
3286	2508428	5769400	misdemeanor	drug	2017-05-16
3287	861665	5132759	misdemeanor	property	2017-09-23
3288	1107929	4827484	misdemeanor	drug	2017-11-14
3289	845123	5413918	misdemeanor	drug	2017-08-03
